Selecao para automacao
Casos TC01-TC94 da rodada 2 (docs/tests/ia/saida-rodada-2.md). Preencher em selecao-automacao.xlsx (calcula a decisao) e reexportar esta aba. Vazio = a preencher pela equipe.
Horizonte (meses restantes),A CONFIRMAR
ID,Nivel,Tm manual/exec (min),Ti implementar (min),Ta auto/exec (s),Mn manut./mes (min),F exec./mes,Automatizar?,Situacao atual,Titulo do caso,HU,Teste automatizado que cobre,Observacoes
TC37,Integração de componentes,,,0.024,,,,Não automatizado,Recusar demanda sem categoria.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC38,Integração de componentes,,,0.015,,,,Automatizado,Recusar demanda com categoria fora do enum.,HU-03 Registro de demanda,tests/acceptance/02_demands.test.ts › CT-DEM-05,Ta medido
TC39,Integração de componentes,,,0.024,,,,Não automatizado,Recusar demanda com prioridade fora do enum.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC40,Integração de componentes,,,0.02,,,,Automatizado,Recusar criação de demanda sem autenticação.,HU-03 Registro de demanda,tests/acceptance/02_demands.test.ts › CT-DEM-02,Ta medido
TC41,Sistema,,,3.035,,,,Automatizado,Abrir a tela de detalhe com o protocolo depois de registrar a demanda.,HU-03 Registro de demanda,e2e/tests/registrar-demanda.spec.ts,Ta medido
TC42,Sistema,,,2.706,,,,Não automatizado,Impedir o envio da demanda sem localização.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC43,Sistema,,,2.706,,,,Não automatizado,Impedir o envio da demanda sem aceite de compartilhamento de dados.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC44,Componente,,,0.013,,,,Não automatizado,Preencher título e descrição com a sugestão da triagem depois do upload.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC45,Sistema,,,2.706,,,,Não automatizado,Vincular à demanda criada a foto anexada no formulário.,HU-12 Anexar fotos,,Ta: referencia por analogia
TC46,Integração de componentes,,,0.024,,,,Não automatizado,Receber a URL da imagem ao enviar arquivo válido.,HU-12 Anexar fotos,,Ta: referencia por analogia
TC47,Integração de componentes,,,0.024,,,,Não automatizado,Recusar upload sem arquivo.,HU-12 Anexar fotos,,Ta: referencia por analogia
TC48,Integração de componentes,,,0.024,,,,Não automatizado,Recusar upload sem autenticação.,HU-12 Anexar fotos,,Ta: referencia por analogia
TC49,Integração de componentes,,,0.024,,,,Não automatizado,Usar a categoria enviada pelo frontend quando o Google Vision não está configurado.,HU-08 Revisão da triagem,,Ta: referencia por analogia
TC50,Integração de componentes,,,0.024,,,,Não automatizado,Usar a categoria enviada quando o Google Vision configurado falha.,HU-08 Revisão da triagem,,Ta: referencia por analogia
TC51,Sistema,,,2.706,,,,Não automatizado,Registrar demanda com a categoria escolhida manualmente quando o Vision está indisponível.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC52,Integração de componentes,,,0.447,,,,Automatizado,Listar para o cidadão só as próprias demandas.,HU-06 Visualizar e filtrar demandas,tests/acceptance/02_demands.test.ts › CT-DEM-07,Ta medido
TC53,Integração de componentes,,,0.024,,,,Automatizado,Listar a fila geral para gestor sem vínculo com órgão.,HU-06 Visualizar e filtrar demandas,tests/acceptance/02_demands.test.ts › CT-DEM-08,Ta medido
TC54,Integração de componentes,,,0.024,,,,Não automatizado,Listar para gestor vinculado só as demandas do seu órgão.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC55,Integração de componentes,,,0.015,,,,Automatizado,Filtrar demandas por status.,HU-06 Visualizar e filtrar demandas,tests/acceptance/02_demands.test.ts › CT-DEM-09,Ta medido
TC56,Integração de componentes,,,0.014,,,,Automatizado,Filtrar demandas por categoria.,HU-06 Visualizar e filtrar demandas,tests/acceptance/02_demands.test.ts › CT-DEM-10,Ta medido
TC57,Integração de componentes,,,0.024,,,,Não automatizado,Filtrar demandas por prioridade.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC58,Integração de componentes,,,0.024,,,,Não automatizado,Filtrar demandas por bairro.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC59,Integração de componentes,,,0.017,,,,Automatizado,Filtrar demandas por texto em busca.,HU-06 Visualizar e filtrar demandas,tests/acceptance/02_demands.test.ts › CT-DEM-11,Ta medido
TC60,Integração de componentes,,,0.024,,,,Não automatizado,Combinar filtros status e categoria.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC61,Integração de componentes,,,0.024,,,,Não automatizado,Recusar filtro com status fora do enum.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC62,Sistema,,,2.706,,,,Não automatizado,Aplicar filtro de status na tela de listagem.,HU-06 Visualizar e filtrar demandas,,"Ta: referencia por analogia; buscar-demandas.spec.ts testa busca por texto, não o filtro de status."
TC63,Sistema,,,2.706,,,,Não automatizado,Exibir estado vazio na listagem de cidadão sem demandas.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC64,Sistema,,,2.706,,,,Não automatizado,Exibir estado de erro na listagem quando a API está indisponível.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC65,Componente,,,0.013,,,,Não automatizado,Expor estado de carregamento enquanto a listagem está pendente.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC66,Integração de componentes,,,0.014,,,,Automatizado,Consultar detalhe de demanda própria.,HU-04 Acompanhar status e histórico,tests/acceptance/02_demands.test.ts › CT-DEM-13,Ta medido
TC67,Integração de componentes,,,0.202,,,,Automatizado,Recusar ao cidadão o detalhe de demanda de outra pessoa.,HU-04 Acompanhar status e histórico,tests/acceptance/02_demands.test.ts › CT-DEM-14,Ta medido
TC68,Integração de componentes,,,0.029,,,,Automatizado,Retornar erro para demanda inexistente.,HU-04 Acompanhar status e histórico,tests/acceptance/02_demands.test.ts › CT-DEM-16,Ta medido
TC69,Sistema,,,2.706,,,,Não automatizado,Exibir no detalhe os seis dados exigidos da demanda.,HU-04 Acompanhar status e histórico,,Ta: referencia por analogia
TC70,Integração de componentes,,,0.087,,,,Automatizado,Atualizar o status da demanda como gestor.,HU-05 Atualização de status,tests/acceptance/02_demands.test.ts › CT-DEM-18,Ta medido
TC71,Integração de componentes,,,0.087,,,,Automatizado,Acrescentar item ao histórico ao atualizar o status.,HU-05 Atualização de status,tests/acceptance/02_demands.test.ts › CT-DEM-18 (mesmo teste do TC70),Ta medido
TC72,Integração de componentes,,,0.029,,,,Automatizado,Recusar atualização de status feita por cidadão.,HU-05 Atualização de status,tests/acceptance/02_demands.test.ts › CT-DEM-17,Ta medido
TC73,Integração de componentes,,,0.007,,,,Automatizado,Recusar atualização de status sem autenticação.,HU-05 Atualização de status,tests/acceptance/02_demands.test.ts › CT-DEM-21,Ta medido
TC74,Integração de componentes,,,0.022,,,,Automatizado,Recusar atualização com status fora do enum.,HU-05 Atualização de status,tests/acceptance/02_demands.test.ts › CT-DEM-19,Ta medido
TC75,Integração de componentes,,,0.018,,,,Automatizado,Recusar atualização de status de demanda inexistente.,HU-05 Atualização de status,tests/acceptance/02_demands.test.ts › CT-DEM-20,Ta medido
TC76,Integração de componentes,,,0.024,,,,Não automatizado,Percorrer o ciclo nominal de status até resolvida.,HU-05 Atualização de status,,"Ta: referencia por analogia; O ciclo até 'resolvida' está coberto no nível Sistema (gestor-gerencia-demanda.spec.ts), não na API como pede o TC."
TC77,Integração de componentes,,,0.024,,,,Não automatizado,Cancelar demanda com status registrada.,HU-05 Atualização de status,,Ta: referencia por analogia
TC78,Sistema,,,2.706,,,,Não automatizado,Exibir ao cidadão o status alterado pelo gestor.,HU-04 Acompanhar status e histórico,,"Ta: referencia por analogia; gestor-gerencia-demanda.spec.ts mostra ao cidadão o status final no card da lista, não o detalhe com 'em atendimento'."
TC79,Sistema,,,4.383,,,,Automatizado,Exibir no histórico a observação registrada pelo gestor.,HU-05 Atualização de status,e2e/tests/gestor-gerencia-demanda.spec.ts (observação visível a cada etapa),Ta medido
TC80,Sistema,,,2.706,,,,Não automatizado,Exibir no painel do gestor o total de demandas das métricas gerais.,HU-07 Painel do gestor,,"Ta: referencia por analogia; gestor-aceita-triagem.spec.ts confere as métricas Encaminhadas e Em análise, não o Total."
TC81,Sistema,,,2.706,,,,Não automatizado,Exibir na fila recente a demanda criada por último.,HU-07 Painel do gestor,,Ta: referencia por analogia
TC82,Sistema,,,2.706,,,,Não automatizado,"Exibir categoria, confiança e sugestão de encaminhamento na triagem.",HU-08 Revisão da triagem,,Ta: referencia por analogia; gestor-aceita-triagem.spec.ts confere sugestão e % de confiança; a categoria não é verificada.
TC83,Integração de componentes,,,0.024,,,,Não automatizado,Sugerir o órgão cujo categoriasJson contém a categoria da demanda.,HU-08 Revisão da triagem,,Ta: referencia por analogia
TC84,Integração de componentes,,,0.03,,,,Automatizado,Retornar ao cidadão métricas só das próprias demandas.,HU-10 Dashboard do cidadão,tests/acceptance/03_metrics_and_organs.test.ts › CT-MET-02,Ta medido
TC85,Integração de componentes,,,0.026,,,,Automatizado,Retornar ao gestor métricas gerais.,HU-07 Painel do gestor,tests/acceptance/03_metrics_and_organs.test.ts › CT-MET-01,Ta medido
TC86,Integração de componentes,,,0.024,,,,Não automatizado,Responder métricas sem Redis configurado.,HU-07 Painel do gestor,,Ta: referencia por analogia
TC87,Integração de componentes,,,0.024,,,,Não automatizado,Responder métricas com Redis configurado mas inacessível.,HU-07 Painel do gestor,,Ta: referencia por analogia
TC88,Sistema,,,2.706,,,,Não automatizado,Exibir no dashboard do cidadão o total das próprias solicitações.,HU-10 Dashboard do cidadão,,Ta: referencia por analogia
TC89,Sistema,,,2.706,,,,Não automatizado,Navegar da home para a tela de login.,HU-02 Login,,Ta: referencia por analogia
TC90,Sistema,,,2.706,,,,Não automatizado,Navegar da home para a tela de cadastro.,HU-01 Cadastro de conta,,Ta: referencia por analogia
TC91,Sistema,,,2.706,,,,Não automatizado,Navegar da home para a tela de demandas.,HU-06 Visualizar e filtrar demandas,,Ta: referencia por analogia
TC92,Sistema,,,2.706,,,,Não automatizado,Registrar demanda em viewport mobile sem rolagem horizontal.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC93,Sistema,,,2.706,,,,Não automatizado,Registrar demanda em viewport tablet sem rolagem horizontal.,HU-03 Registro de demanda,,Ta: referencia por analogia
TC94,Sistema,,,2.706,,,,Não automatizado,Registrar demanda em viewport desktop sem rolagem horizontal.,HU-03 Registro de demanda,,Ta: referencia por analogia
Ta medido em 23/09/2026 (duracao do proprio teste). Nao automatizados: Ta de referencia = mediana do mesmo nivel.
